Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Country,State,City,Product_Category,Product_Subcategory,Product_Name,Sales_Amount,Quantity,Discount,Profit,Payment_Mode,Sales_Channel,Sales_Rep
ORD0001,2025-09-12,CUST0001,Arjun Bhandari,South,India,Kerala,Kozhikode,Electronics,Headphones,Headphones Model 574,82579,4,0,13338.44,Credit Card,Offline,Aradhana Chawla
ORD0002,2025-04-22,CUST0002,Isaiah Muni,South,India,Andhra Pradesh,Visakhapatnam,Electronics,Laptop,Laptop Model 196,74062,3,0,11777.33,Credit Card,Online,Yochana Saran
ORD0003,2025-10-30,CUST0003,Manan Misra,North,India,Punjab,Jalandhar,Sports,Accessories,Accessories Model 994,12081,3,0,1914.89,UPI,Offline,Aditya Bhandari
ORD0004,2024-09-09,CUST0004,Hardik Deo,East,India,Bihar,Patna,Home & Kitchen,Appliances,Appliances Model 105,9435,3,10,1131.1,Debit Card,Online,Yoshita Mall
ORD0005,2025-01-24,CUST0005,Harrison Gole,South,India,Karnataka,Mysore,Fashion,Footwear,Footwear Model 713,13926,1,5,956.78,Credit Card,Online,Aarna Dada
ORD0006,2025-03-13,CUST0006,Chaitanya Memon,East,India,Bihar,Bhagalpur,Fashion,Footwear,Footwear Model 656,36446,3,5,6032.49,UPI,Offline,Ladli Dube
ORD0007,2024-05-26,CUST0007,Utkarsh Ravel,West,India,Maharashtra,Pune,Home & Kitchen,Cookware,Cookware Model 862,69778,1,15,15896.98,UPI,Offline,Adweta Karan
ORD0008,2024-03-03,CUST0008,Amara Grewal,East,India,Jharkhand,Dhanbad,Sports,Accessories,Accessories Model 220,14040,2,15,1970.49,Credit Card,Online,Zashil Loke
ORD0009,2024-02-28,CUST0009,Rehaan Lall,South,India,Kerala,Kochi,Electronics,Laptop,Laptop Model 523,66709,5,5,10580.04,UPI,Online,Vasatika Balay
ORD0010,2024-12-05,CUST0010,Viraj Luthra,South,India,Tamil Nadu,Coimbatore,Home & Kitchen,Furniture,Furniture Model 206,94850,4,15,18361.85,Credit Card,Online,Chaaya Bhandari
ORD0011,2024-11-10,CUST0011,Yashawini Mohanty,North,India,Haryana,Panipat,Home & Kitchen,Furniture,Furniture Model 279,56950,2,15,5860.1,UPI,Online,Aarini Vig
